시도명,지정사유,지정연도,도로폭,도로차로수,보차분리여부
경기도,불분명,0.0,5.0,1.0,Y
경기도,불분명,0.0,5.0,1.0,Y
경기도,불분명,0.0,9.0,1.0,Y
경기도,불분명,0.0,4.0,1.0,Y
경기도,불분명,0.0,4.0,1.0,Y
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,7.5,1.0,Y
경기도,불분명,0.0,8.0,1.0,Y
경기도,불분명,0.0,6.0,1.0,Y
경기도,불분명,0.0,6.0,1.0,Y
경기도,불분명,0.0,8.0,1.0,N
경기도,불분명,0.0,8.0,1.0,N
경기도,불분명,0.0,4.0,1.0,N
경기도,불분명,0.0,4.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,2.0,N
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,2.0,Y
경상북도,원활,0.0,6.0,2.0,Y
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,2.0,Y
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
경상북도,불분명,0.0,6.0,1.0,N
경상북도,불분명,0.0,6.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
경상북도,불분명,0.0,8.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
경상북도,불분명,0.0,5.0,1.0,N
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,4.0,Y
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,1.0,Y
제주특별자치도,불편,2017.0,4.0,1.0,N
제주특별자치도,불편,2018.0,6.0,1.0,N
제주특별자치도,불편,0.0,8.0,1.0,Y
제주특별자치도,불편,0.0,6.0,1.0,N
제주특별자치도,불편,0.0,6.0,1.0,N
제주특별자치도,불편,0.0,4.0,1.0,N
제주특별자치도,불편,0.0,4.0,1.0,Y
인천광역시,원활,2005.0,6.0,1.0,N
인천광역시,원활,2018.0,7.0,1.0,Y
인천광역시,원활,2019.0,3.5,1.0,N
인천광역시,원활,2019.0,6.0,1.0,Y
인천광역시,원활,2022.0,5.5,1.0,N
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,2.0,Y
경상북도,원활,0.0,6.0,2.0,Y
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,1.0,N
경상북도,원활,0.0,6.0,1.0,Y
경상북도,원활,0.0,6.0,1.0,N
경상북도,불분명,0.0,6.0,1.0,N
경기도,안전,2016.0,8.0,1.0,N
경기도,안전,2016.0,8.0,1.0,N
경기도,안전,2012.0,8.0,1.0,N
경기도,안전,2012.0,8.0,1.0,N
경기도,안전,2012.0,8.0,1.0,N
강원도,불분명,0.0,8.0,1.0,N
강원도,불분명,0.0,8.0,1.0,N
강원도,불분명,0.0,8.0,1.0,N
강원도,불분명,0.0,8.0,1.0,N
강원도,불분명,0.0,8.0,1.0,N
강원도,불분명,0.0,8.0,1.0,N
강원도,불분명,0.0,8.0,1.0,N
강원도,불분명,0.0,8.0,1.0,N
강원도,불분명,0.0,8.0,1.0,Y
강원도,불분명,0.0,8.0,1.0,Y
경상북도,불분명,0.0,7.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
경상남도,불분명,2022.0,5.0,1.0,N
강원도,안전,0.0,3.0,1.0,Y
강원도,안전,0.0,3.0,1.0,N
강원도,안전,0.0,3.0,1.0,Y
강원도,안전,0.0,3.0,1.0,N
강원도,안전,0.0,3.0,1.0,N
강원도,안전,0.0,3.0,1.0,N
경기도,원활,0.0,6.0,1.0,N
경기도,원활,0.0,6.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
경상북도,불분명,0.0,5.0,1.0,N
경상북도,불분명,0.0,5.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
경상북도,불분명,0.0,6.0,1.0,N
경상북도,불분명,0.0,5.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,7.5,1.0,Y
서울특별시,불분명,0.0,7.5,1.0,Y
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,9.0,1.0,N
서울특별시,불분명,0.0,7.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,Y
서울특별시,불분명,0.0,7.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,7.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,Y
서울특별시,불분명,0.0,5.5,1.0,Y
서울특별시,불분명,0.0,5.5,1.0,Y
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,3.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,7.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,4.0,1.0,N
서울특별시,불분명,0.0,4.0,1.0,N
서울특별시,불분명,0.0,4.0,1.0,N
서울특별시,불분명,0.0,6.0,1.0,N
서울특별시,불분명,0.0,6.0,1.0,N
서울특별시,불분명,0.0,6.0,1.0,N
서울특별시,불분명,0.0,6.0,1.0,N
서울특별시,불분명,0.0,6.0,1.0,N
서울특별시,불분명,0.0,4.0,1.0,N
서울특별시,불분명,0.0,4.0,1.0,N
서울특별시,불분명,0.0,5.0,1.0,N
서울특별시,불분명,0.0,4.0,1.0,N
서울특별시,불분명,0.0,4.0,1.0,N
서울특별시,불분명,0.0,4.0,1.0,N
서울특별시,불분명,0.0,4.0,1.0,N
서울특별시,불분명,0.0,3.0,1.0,N
서울특별시,불분명,0.0,5.0,1.0,N
서울특별시,불분명,0.0,4.0,1.0,N
서울특별시,불분명,0.0,4.0,1.0,N
서울특별시,불분명,0.0,5.0,1.0,N
서울특별시,불분명,0.0,5.0,1.0,N
서울특별시,불분명,0.0,4.0,1.0,N
서울특별시,불분명,0.0,5.0,1.0,N
서울특별시,불분명,0.0,6.0,1.0,Y
서울특별시,불분명,0.0,5.0,1.0,N
서울특별시,불분명,0.0,7.0,1.0,N
서울특별시,불분명,0.0,6.0,1.0,Y
서울특별시,불분명,0.0,5.0,1.0,N
서울특별시,불분명,0.0,5.0,1.0,N
서울특별시,불분명,0.0,5.0,1.0,N
서울특별시,불분명,0.0,6.0,1.0,N
서울특별시,불분명,0.0,7.0,1.0,N
서울특별시,불분명,0.0,6.0,1.0,N
서울특별시,불분명,0.0,6.0,1.0,N
서울특별시,불분명,0.0,10.0,2.0,Y
서울특별시,불분명,0.0,5.0,1.0,N
서울특별시,불분명,0.0,5.0,1.0,N
서울특별시,불분명,0.0,5.0,1.0,N
서울특별시,불분명,0.0,4.0,1.0,N
서울특별시,불분명,0.0,3.5,1.0,N
서울특별시,불분명,0.0,5.0,1.0,N
서울특별시,불분명,0.0,4.0,1.0,N
서울특별시,불분명,0.0,3.5,1.0,N
충청남도,불분명,0.0,4.5,1.0,N
서울특별시,불분명,0.0,6.0,1.0,N
서울특별시,불분명,0.0,3.5,1.0,N
서울특별시,불분명,0.0,6.0,1.0,N
서울특별시,불분명,0.0,6.0,1.0,N
서울특별시,불분명,0.0,7.0,1.0,Y
서울특별시,불분명,0.0,6.5,1.0,N
서울특별시,불분명,0.0,6.0,1.0,Y
서울특별시,불분명,0.0,10.0,2.0,N
서울특별시,불분명,0.0,10.0,1.0,Y
서울특별시,불분명,0.0,8.0,1.0,N
서울특별시,불분명,0.0,4.0,1.0,N
서울특별시,불분명,0.0,5.0,1.0,N
서울특별시,불분명,0.0,2.5,1.0,N
서울특별시,불분명,0.0,5.0,1.0,N
서울특별시,불분명,0.0,5.0,1.0,N
서울특별시,불분명,0.0,8.0,1.0,Y
서울특별시,불분명,0.0,6.0,1.0,N
서울특별시,불분명,0.0,5.0,1.0,N
서울특별시,불분명,0.0,9.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,8.0,1.0,N
경기도,불분명,0.0,10.0,2.0,Y
경기도,불분명,0.0,6.0,1.0,Y
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,8.0,1.0,N
경기도,불분명,0.0,8.0,1.0,N
경기도,불분명,0.0,7.1,1.0,Y
경기도,불분명,0.0,9.8,2.0,Y
경기도,불분명,0.0,10.0,2.0,Y
경기도,불분명,0.0,10.0,2.0,N
경기도,불분명,0.0,10.0,2.0,Y
경기도,불분명,0.0,10.0,2.0,Y
경기도,불분명,0.0,9.7,2.0,Y
경기도,불분명,0.0,9.7,2.0,Y
경기도,불분명,0.0,10.0,2.0,Y
경기도,불분명,0.0,6.3,1.0,N
경기도,불분명,0.0,6.0,1.0,N
서울특별시,불분명,0.0,6.0,1.0,Y
서울특별시,불분명,0.0,6.0,1.0,Y
서울특별시,불분명,0.0,6.0,1.0,N
서울특별시,불분명,0.0,3.5,1.0,N
서울특별시,불분명,0.0,6.0,1.0,N
서울특별시,불분명,0.0,6.0,1.0,N
서울특별시,불분명,0.0,10.0,1.0,N
서울특별시,불분명,0.0,5.0,1.0,N
서울특별시,불분명,0.0,4.0,1.0,N
서울특별시,불분명,0.0,3.5,1.0,N
서울특별시,불분명,0.0,3.0,1.0,N
서울특별시,불분명,0.0,4.0,1.0,N
서울특별시,불분명,0.0,5.0,1.0,N
서울특별시,불분명,0.0,5.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
서울특별시,안전,1999.0,3.7,1.0,N
경기도,불분명,2019.0,7.0,1.0,N
경기도,불분명,2021.0,4.0,1.0,N
경기도,불분명,2021.0,6.0,1.0,N
경기도,불분명,0.0,8.0,1.0,Y
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,5.0,1.0,N
경기도,불분명,0.0,5.0,1.0,N
경기도,불분명,0.0,9.0,1.0,N
경기도,불분명,0.0,4.0,1.0,N
경기도,불분명,0.0,4.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,8.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,8.0,1.0,Y
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,6.0,1.0,Y
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,5.5,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,8.0,1.0,N
경기도,불분명,0.0,8.5,1.0,N
경기도,불분명,0.0,8.0,1.0,N
경기도,불분명,0.0,8.0,1.0,N
충청남도,불분명,0.0,4.5,1.0,Y
경기도,불분명,0.0,7.5,1.0,N
경기도,불분명,0.0,5.5,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,2015.0,6.0,1.0,N
경기도,불분명,2016.0,10.0,1.0,Y
경기도,불분명,2016.0,8.0,1.0,N
경기도,불분명,2017.0,6.0,1.0,N
경기도,불분명,2017.0,9.0,1.0,N
경기도,불분명,2017.0,7.0,1.0,N
경기도,불분명,0.0,8.0,1.0,Y
경기도,불분명,0.0,8.2,1.0,N
경기도,불분명,0.0,8.0,1.0,Y
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,6.0,1.0,Y
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,10.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,8.0,1.0,N
경기도,불분명,0.0,6.0,1.0,Y
경기도,불분명,0.0,6.0,1.0,Y
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,8.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,8.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,5.0,1.0,Y
경기도,불분명,0.0,6.0,1.0,N
경상북도,불분명,0.0,8.0,1.0,N
경상북도,불분명,0.0,5.0,1.0,N
충청남도,불분명,0.0,5.0,1.0,N
경기도,불분명,0.0,6.0,1.0,Y
경기도,불분명,0.0,5.0,1.0,Y
경기도,불분명,0.0,7.0,3.0,Y
경기도,불분명,0.0,7.0,3.0,Y
경기도,불분명,0.0,7.0,1.0,Y
경기도,불분명,0.0,4.0,1.0,Y
경기도,불분명,0.0,4.0,1.0,Y
경기도,불분명,0.0,4.0,1.0,Y
경기도,불분명,0.0,4.0,1.0,Y
경기도,불분명,0.0,2.0,1.0,Y
경상북도,안전,2016.0,6.0,1.0,N
경상북도,안전,2016.0,6.0,1.0,N
경상북도,안전,2016.0,6.0,1.0,N
경기도,주민건의,0.0,3.0,1.0,N
경기도,주민건의,0.0,6.0,2.0,Y
경기도,주민건의,0.0,3.0,1.0,N
경기도,주민건의,0.0,3.0,1.0,N
경기도,주민건의,0.0,3.0,1.0,N
경기도,주민건의,0.0,6.0,2.0,Y
경기도,주민건의,0.0,3.0,1.0,N
경기도,주민건의,0.0,3.0,1.0,N
경기도,주민건의,2013.0,3.0,1.0,N
경기도,주민건의,2013.0,6.0,2.0,N
경기도,주민건의,2013.0,3.0,1.0,N
경기도,주민건의,2005.0,3.0,1.0,Y
경기도,주민건의,2005.0,3.0,1.0,Y
경기도,주민건의,2005.0,3.0,1.0,Y
경기도,주민건의,0.0,3.0,1.0,N
경기도,주민건의,0.0,3.0,1.0,Y
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,6.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,10.0,1.0,Y
경상북도,불분명,0.0,5.0,1.0,N
경상북도,불분명,0.0,8.0,1.0,N
경상북도,불분명,0.0,8.0,2.0,N
경상북도,불분명,0.0,7.0,1.0,N
전라남도,불분명,0.0,9.0,1.0,N
전라남도,불분명,0.0,4.0,1.0,N
전라남도,불분명,2004.0,7.0,2.0,N
전라남도,불분명,0.0,8.0,1.0,N
전라남도,불분명,2002.0,8.0,1.0,N
전라남도,불분명,0.0,4.0,1.0,N
전라남도,불분명,2002.0,7.0,1.0,N
전라남도,불분명,2002.0,4.0,1.0,N
전라남도,불분명,2008.0,9.0,1.0,N
전라남도,불분명,2010.0,6.0,1.0,N
전라남도,불분명,2011.0,5.0,1.0,N
전라남도,불분명,2012.0,8.0,1.0,N
전라남도,불분명,2014.0,5.0,1.0,N
전라남도,불분명,2002.0,8.0,1.0,N
전라남도,불분명,0.0,8.0,1.0,N
전라남도,불분명,2016.0,8.0,1.0,N
전라남도,불분명,2016.0,8.0,1.0,N
전라남도,불분명,2016.0,8.0,1.0,N
전라남도,불분명,2016.0,8.0,1.0,N
전라남도,불분명,2016.0,8.0,1.0,N
전라남도,불분명,2016.0,8.0,1.0,N
전라남도,불분명,2016.0,8.0,1.0,N
전라남도,불분명,2016.0,8.0,1.0,N
전라남도,불분명,2016.0,8.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,4.0,1.0,Y
경기도,불분명,0.0,4.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,8.0,1.0,N
경기도,불분명,0.0,8.0,1.0,N
경기도,불분명,0.0,8.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,8.0,1.0,N
경기도,불분명,0.0,8.0,1.0,Y
경기도,불분명,0.0,8.0,1.0,N
경기도,불분명,0.0,8.0,1.0,N
경기도,불분명,0.0,8.0,1.0,Y
경기도,불분명,0.0,10.0,2.0,Y
경기도,불분명,0.0,8.0,1.0,Y
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,4.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,5.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경기도,불분명,0.0,6.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,5.0,1.0,N
경상북도,불분명,0.0,5.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,6.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,5.0,1.0,N
경상북도,불분명,0.0,3.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,3.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,5.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,3.0,1.0,N
경상북도,불분명,0.0,3.0,1.0,N
경상북도,불분명,0.0,3.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,2.0,1.0,N
경상북도,불분명,0.0,3.0,1.0,N
경상북도,불분명,0.0,3.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,2.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,3.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,3.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,7.0,1.0,N
경상북도,불분명,0.0,5.0,1.0,N
경상북도,불분명,0.0,5.0,1.0,N
경상북도,불분명,0.0,6.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,6.0,1.0,N
경상북도,불분명,0.0,5.0,1.0,N
경상남도,불분명,0.0,4.9,1.0,Y
경상남도,불분명,0.0,4.6,1.0,N
경상남도,불분명,0.0,3.5,1.0,N
경상남도,불분명,0.0,2.8,1.0,Y
경상남도,불분명,0.0,4.8,1.0,N
경상남도,불분명,0.0,4.9,1.0,N
경상남도,불분명,0.0,5.6,1.0,N
경상남도,불분명,0.0,6.0,1.0,N
경상남도,불분명,0.0,8.1,2.0,Y
경상남도,불분명,0.0,6.4,1.0,N
경상남도,불분명,0.0,4.1,1.0,N
경상남도,불분명,0.0,6.6,1.0,N
경상남도,불분명,0.0,5.7,1.0,N
경상남도,불분명,0.0,4.7,1.0,N
경상남도,불분명,0.0,4.3,1.0,N
경상남도,불분명,0.0,5.7,1.0,N
경상남도,불분명,0.0,3.8,1.0,N
경상남도,불분명,0.0,3.0,1.0,Y
경상남도,불분명,0.0,9.1,1.0,Y
경상남도,불분명,0.0,4.7,1.0,Y
경상남도,불분명,0.0,7.1,1.0,N
경상남도,불분명,0.0,8.0,1.0,Y
경상남도,불분명,0.0,7.4,1.0,Y
경상남도,불분명,0.0,4.0,1.0,Y
경상남도,불분명,0.0,5.3,1.0,N
경상남도,불분명,0.0,6.5,1.0,N
경상남도,불분명,0.0,5.8,1.0,N
전라북도,불분명,0.0,6.0,1.0,N
전라북도,불분명,0.0,8.0,1.0,Y
전라북도,불분명,0.0,10.0,1.0,Y
전라북도,불분명,0.0,6.0,1.0,N
전라북도,불분명,0.0,6.0,1.0,Y
전라북도,불분명,0.0,4.0,1.0,N
전라북도,불분명,0.0,6.0,1.0,N
전라북도,불분명,0.0,6.0,1.0,N
전라북도,불분명,0.0,6.0,1.0,N
전라북도,불분명,0.0,8.0,1.0,N
전라북도,불분명,0.0,6.0,1.0,N
전라북도,불분명,0.0,6.0,1.0,Y
전라북도,불분명,0.0,6.0,1.0,N
전라북도,불분명,0.0,6.0,1.0,N
전라북도,불분명,0.0,6.0,1.0,N
전라북도,불분명,0.0,6.0,1.0,N
전라북도,불분명,0.0,8.0,1.0,Y
전라북도,불분명,0.0,6.0,1.0,Y
전라북도,불분명,0.0,6.0,1.0,Y
전라북도,불분명,0.0,8.0,1.0,Y
전라북도,불분명,0.0,6.0,1.0,N
전라북도,불분명,0.0,6.0,1.0,N
서울특별시,안전,1998.0,6.0,1.0,N
서울특별시,안전,1998.0,6.0,1.0,N
서울특별시,안전,1998.0,6.0,1.0,N
서울특별시,안전,1998.0,6.0,1.0,N
서울특별시,안전,1998.0,6.0,1.0,N
서울특별시,안전,1999.0,6.0,1.0,N
서울특별시,안전,1999.0,6.0,1.0,N
서울특별시,안전,1999.0,6.0,1.0,N
서울특별시,안전,1998.0,6.0,1.0,N
서울특별시,안전,1998.0,6.0,1.0,N
서울특별시,안전,1998.0,6.0,1.0,N
서울특별시,안전,1998.0,6.0,1.0,N
서울특별시,안전,1999.0,6.0,1.0,N
서울특별시,안전,2021.0,4.2,1.0,N
전라남도,불분명,2002.0,6.0,1.0,N
전라남도,불분명,0.0,3.0,1.0,N
전라남도,불분명,0.0,6.0,1.0,N
전라남도,불분명,0.0,7.0,1.0,N
전라남도,불분명,0.0,4.0,1.0,N
전라남도,불분명,0.0,5.0,1.0,N
전라남도,불분명,0.0,8.0,1.0,N
